x: 101.31820829888704    y: 109.74504695396442
x: 46.857431822958475    y: 47.143436032497696
x: 140.61942787372394    y: 140.00826468864642
x: 165.30271902114322    y: 173.87052616031656
x: 54.6098511440819    y: 68.07022227840488
x: 35.547358082408124    y: 40.91205449466541
x: 12.833468705645746    y: 15.741182237009841
x: 161.16916152575973    y: 171.46121506940773
x: 175.19811599951362    y: 171.372960992548
x: 198.27433959091286    y: 201.3500973732196
x: 147.00889564723929    y: 147.60579128055488
x: 71.81305844318764    y: 83.9798178075632
x: 105.93061402380654    y: 106.8858832944351
x: 85.22633407344085    y: 85.93496656962496
x: 129.7706359679661    y: 140.72934402631924
x: 25.95807129945249    y: 40.65181746129437
x: 129.73176780503408    y: 127.77433292176508
x: 147.80822711006877    y: 155.77311516090023
x: 43.02354599083307    y: 39.20646573087343
x: 158.9306388057145    y: 158.13469189655825
x: 95.06429496453686    y: 109.4121827447016
x: 159.45488469433587    y: 171.00112164210117
x: 15.672422085221971    y: 17.7896387941323
x: 74.55910249939322    y: 79.76578896466194
x: 37.816299027729514    y: 45.14301488785934
x: 17.506741985334664    y: 26.232285090268014
x: 151.32505307642182    y: 149.21750314190703
x: 20.511175470732624    y: 32.54383535376255
x: 95.86139006000454    y: 94.25005117702518
x: 150.93385145176035    y: 160.34974401044528
x: 49.86179259825507    y: 48.06310973609954
x: 82.4545931899507    y: 93.86161860759316
x: 132.39926797705806    y: 137.9844212627684
x: 183.43255754409014    y: 192.72553287242076
x: 26.272760625298375    y: 36.948650426218954
x: 16.063071162176932    y: 27.05551716662172
x: 85.78691245170307    y: 91.97432417120176
x: 131.36285589076638    y: 142.62246924083917
x: 85.86081090759086    y: 99.93328312789396
x: 174.72077212648531    y: 181.00903088667775
x: 109.17678967546796    y: 110.41259341583812
x: 152.96260222058353    y: 159.24559298904856
x: 117.95930004714896    y: 113.66061905593057
x: 93.79524636182235    y: 94.3459086913722
x: 48.958935638217646    y: 48.85776343076475
x: 144.20989553486754    y: 153.34869142911492
x: 85.62393539010371    y: 85.21229394214568
x: 176.47356347894942    y: 181.53642870206886
x: 133.8087825937418    y: 140.18638328254067
x: 80.99827116509447    y: 85.58264979163037
x: 166.05343478632767    y: 172.32924539912847
x: 15.738444043820143    y: 23.289522891175807
x: 78.29232361735585    y: 84.60240993384909
x: 90.76674869956618    y: 87.94321739656507
x: 99.19682292474256    y: 103.95564725342739
x: 14.505179637126876    y: 28.93216737816412
x: 152.28604961824684    y: 156.67127319729036
x: 19.848330070444888    y: 18.68293220540519
x: 184.1451027175548    y: 194.72181762871818
x: 144.69600307469375    y: 149.74051073751045
x: 103.84399645525528    y: 99.48545905200743
x: 117.89808680142042    y: 130.19387012735066
x: 112.79827801706004    y: 109.12642633554748
x: 96.83582658636065    y: 109.9253875512376
x: 60.921549270898744    y: 56.38910159020054
x: 144.64032499872246    y: 151.19650605756613
x: 166.02048943605533    y: 173.91781457074416
x: 108.66187019975978    y: 115.75945059796548
x: 47.80294617765286    y: 50.17982005528262
x: 77.93616866225088    y: 89.08218300217322
x: 146.3699603489844    y: 158.68226166656996
x: 85.1122284056834    y: 98.11047443474027
x: 188.51430649094831    y: 196.4723306593045
x: 149.55465575887078    y: 157.8293138481435
x: 175.42369522935192    y: 188.75313971099862
x: 180.3707105898608    y: 193.90077930346365
x: 19.099910238565208    y: 15.740139825728948
x: 191.21187226809232    y: 202.2067582591869
x: 97.14823166918292    y: 103.1726001955139
x: 198.79857416338425    y: 211.26586724697887
x: 74.79689847111615    y: 81.40166222608968
x: 54.21885998334621    y: 62.55568024936631
x: 8.71241832934373    y: 20.337748192065607
x: 85.01872729478809    y: 90.89519136942161
x: 44.63803560578301    y: 51.94147872380047
x: 197.38708654306788    y: 194.91441127321482
x: 127.08113181410485    y: 124.58556330266123
x: 31.444340193716624    y: 42.65661887272452
x: 148.28128196052262    y: 151.43793701593762
x: 156.44618570548005    y: 155.65492619609108
x: 9.899560630395875    y: 9.4582071040192
x: 134.62292732347592    y: 142.97038938151803
x: 39.02165101185708    y: 48.014283079153564
x: 156.94547216685433    y: 160.96810658437332
x: 181.59819496814828    y: 180.34811934687156
x: 105.34862090677342    y: 105.94325763769498
x: 25.812447226260836    y: 32.394122590882674
x: 28.92657126471436    y: 41.86781089762289
x: 100.43991671189485    y: 115.05938401390341
x: 104.66636915631011    y: 114.56280528589448
x: 108.98918899484526    y: 111.23013938417138
x: 115.57919749322825    y: 122.69715909814698
x: 133.43689628486933    y: 136.4459837792416
x: 123.21376736552428    y: 123.54914519266472
x: 131.19945543922034    y: 144.84801615484295
x: 151.47001507039218    y: 158.561237430863
x: 126.25627568685955    y: 133.60749933862397
x: 178.2003484017479    y: 188.5204118811638
x: 47.90560062717808    y: 55.7708245784156
x: 90.41232744054464    y: 96.58890626711147
x: 131.333917347073    y: 135.6399400586975
x: 45.651700722641884    y: 49.58057472476304
x: 14.874457074050373    y: 29.854079161175086
x: 138.36444731796885    y: 144.10364873898646
x: 163.41486859318118    y: 163.6594207764397
x: 0.8053911864605912    y: -2.780623132649769
x: 87.88002931927488    y: 84.49945091553064
x: 1.7067958792709392    y: 14.646884083806345
x: 23.05299106092116    y: 28.391880849317893
x: 117.54607466063824    y: 123.34979783041875
x: 183.28562172644675    y: 189.31526867640713
x: 139.3694837466205    y: 144.19022078964875
x: 162.94299572263066    y: 174.39958048227288
x: 102.58626013612025    y: 97.62471559436061
x: 188.0470087134477    y: 194.03189451877324
x: 97.28418892949942    y: 105.2668984217744
x: 22.085044989239734    y: 25.193230208626563
x: 178.27282999677024    y: 187.6578018140541
x: 160.7346708168599    y: 165.38597659386235
x: 59.64155542639038    y: 68.91435843156907
x: 111.75353800433592    y: 114.55125257377358
x: 139.02283054179995    y: 135.4936564199431
x: 90.541384770745    y: 91.68569211131162
x: 163.32415708500193    y: 164.78736262734125
x: 167.82220558720275    y: 180.54986779420665
x: 32.90798618655217    y: 47.39635180284978
x: 129.17324364653965    y: 128.82806985082541
x: 180.672751403055    y: 179.8758205586333
x: 150.918066331638    y: 147.5628111010623
x: 47.00050589179712    y: 60.517371849930164
x: 91.926002361918    y: 99.9334270768291
x: 95.76049843354096    y: 96.82585727631283
x: 121.96337339600989    y: 126.08365142921684
x: 3.9620366461641243    y: 18.144158946068373
x: 22.1730236983992    y: 36.815998630326334
x: 96.33895920487016    y: 96.15104292492269
x: 26.96113649436942    y: 26.726304309915214
x: 98.64347851234034    y: 102.03028332216502
x: 160.86163594713818    y: 158.23920980159272
x: 53.84332756950278    y: 58.08630694879788
x: 122.7158287902204    y: 126.26464281867426
x: 36.03466544469362    y: 41.678141026789426
x: 75.35322307374234    y: 87.36358706541077
x: 170.11973879640757    y: 170.44555873538863
x: 101.1955094986956    y: 107.27150403805942
x: 115.26317350715286    y: 112.43126682321996
x: 125.20359826903744    y: 125.2709764920777
x: 27.3330365841    y: 35.14791546910138
x: 168.44328524470674    y: 167.67729363590198
x: 74.44710319126185    y: 79.82210268979405
x: 148.9695085049626    y: 147.46320506851583
x: 131.87006234556642    y: 142.38135816303122
x: 41.310868060418926    y: 39.22467994951276
x: 184.719450186119    y: 198.41740477998542
