x: 12.0571121818854    y: 171.28174038077103
x: 17.43636997974598    y: 333.69891585202083
x: 13.333227584462756    y: 199.3392071065467
x: 16.25928257489837    y: 299.9114181081259
x: 9.934198165024114    y: 107.74428121746315
x: 5.107422086497129    y: 40.86133617256456
x: 3.131418650469689    y: 9.036745409601362
x: 17.647401085681505    y: 349.8870838008595
x: 0.8339461174042634    y: -6.533993136887778
x: 17.990069952200333    y: 349.1946823005857
x: 11.89792006130102    y: 163.40002693165366
x: 11.576339378272909    y: 162.13979771438218
x: 1.840127894481605    y: 0.618508877144853
x: 15.822707407360184    y: 277.27949179229086
x: 2.9357483320648607    y: 20.452304728275745
x: 16.279948405509536    y: 291.70200662710977
x: 6.061117725069614    y: 44.66761726645117
x: 18.682860711405596    y: 381.5349987806894
x: 5.578647052193012    y: 45.28017236532237
x: 21.061589183035114    y: 477.0202155098172
x: 6.2171739366543965    y: 38.933932510907496
x: 14.695039385284355    y: 246.3573293139791
x: 20.89662725181895    y: 480.16389772073546
x: 19.46885808638619    y: 410.6190025128521
x: 19.832550549207532    y: 426.0816831101995
x: 13.975602001335835    y: 225.66630784915054
x: 8.83576101687296    y: 92.29216563662423
x: 8.343840302155423    y: 79.08173078041449
x: 20.27577530856692    y: 448.3652018204734
x: 16.6959758490238    y: 318.9543960112627
x: 2.5063624458556673    y: 15.844470883950876
x: 13.633069600853478    y: 210.77000929330814
x: 4.148299770853278    y: 22.471380732514984
x: 10.895911002375403    y: 137.4677960862783
x: 7.44300649642452    y: 65.10147497731171
x: 6.324572677681295    y: 47.23683022796654
x: 6.641069723973672    y: 50.293570187768154
x: 18.688653238106784    y: 383.82025419918364
x: 13.266731785591018    y: 190.94774066527467
x: 12.651378106799596    y: 176.00079089619481
x: 1.63639613240065    y: 4.890175626929026
x: 20.02983903287521    y: 433.3567528369843
x: 7.0895645513757986    y: 63.024399604443246
x: 15.152873898418964    y: 259.4695198016026
x: 0.28187997552704125    y: 5.796459124728694
x: 15.4429211795307    y: 267.931594299763
x: 14.337126824043153    y: 227.00705332553062
x: 19.172797582075074    y: 406.1676500270048
x: 11.627089775240284    y: 150.54826447095402
x: 20.280448033709316    y: 446.0984088870309
x: 19.285874300044465    y: 406.91323342005023
x: 3.0197516312395116    y: 8.97409269500438
x: 21.015620777301372    y: 480.22763489884943
x: 12.405435804239792    y: 176.81826097057566
x: 3.282939409040722    y: 16.471289429682933
x: 11.98127342691512    y: 166.2778437991763
x: 13.458788156192094    y: 198.7192031755558
x: 15.796262145805098    y: 271.72878839721085
x: 4.529663918113464    y: 31.998082491254053
x: 13.951300520888815    y: 214.86232711867032
x: 5.621368543429267    y: 44.90351410353559
x: 18.81059416566404    y: 394.2635173805811
x: 8.52630068087151    y: 80.88829680769857
x: 17.185911518497644    y: 335.0366447112142
x: 5.377172462191748    y: 38.74802039840916
x: 2.6620899242231433    y: 17.24477727641933
x: 1.0446806323294284    y: 5.148565289290568
x: 14.320176572309402    y: 237.57792455592642
x: 1.6069749128520439    y: 3.4883824505280216
x: 21.40470049665268    y: 488.7859738772931
x: 13.50280648098672    y: 212.97183006595102
x: 19.078485268019556    y: 394.0730959719311
x: 12.205689410127698    y: 178.11412366820684
x: 19.9175871842213    y: 441.10566996317675
x: 2.8091653455016963    y: 6.823761152986872
x: 15.216495348259693    y: 249.77138652464708
x: 12.518465559156681    y: 177.975340055481
x: 1.411258689101333    y: 5.350068454607166
x: 2.136704498043879    y: 5.124844324006123
x: 9.714418508135333    y: 109.38638519755823
x: 6.553423283780504    y: 62.06153571075613
x: 16.99378483377727    y: 312.42509090258153
x: 6.065873279839915    y: 45.61770750184131
x: 14.748798958528797    y: 237.24475948047436
x: 6.022193155781691    y: 42.45265621216013
x: 11.073152758441998    y: 141.76893839679866
x: 11.562183988673308    y: 145.63201801461497
x: 8.421820700707977    y: 89.86194672126217
x: 16.70404307537071    y: 310.8442943889285
x: 3.6109606513093446    y: 10.583464389030448
x: 0.20127831264474538    y: 6.553241668659556
x: 13.264244621538085    y: 191.21656748187348
x: 11.82989108784935    y: 156.9118935790907
x: 13.250944476448117    y: 195.6642174810791
x: 15.703180370883786    y: 279.66913595908875
x: 12.65280206053162    y: 180.65116118538467
x: 10.779886504946672    y: 136.87129591945063
x: 5.325205986443443    y: 29.97535069947051
x: 13.477311506917511    y: 197.32563334055945
x: 13.554442305244429    y: 202.94166073576048
x: 10.206300304467222    y: 116.1878663900032
x: 7.247846816929532    y: 71.95885508497977
x: 9.511223726546472    y: 99.07462432286921
x: 14.360961710232658    y: 228.74170745677543
x: 2.641042635569307    y: 9.96461874135607
x: 11.868623691685704    y: 168.77257717455112
x: 20.87480894049064    y: 480.2996859036508
x: 8.05154196916236    y: 75.46754792147375
x: 11.977295679453222    y: 156.6055917677863
x: 6.009387739639893    y: 43.00235640652211
x: 6.158608736406307    y: 38.3094071176492
x: 9.723920529904245    y: 108.21076993574692
x: 12.313469229002076    y: 177.4070528936302
x: 14.487595038981679    y: 238.07248292010223
x: 8.770807250174203    y: 89.01777773024392
x: 15.25776988628997    y: 255.29992098527728
x: 3.4932213172691324    y: 12.564870537919193
x: 21.396058727996266    y: 498.347600049066
x: 17.598909063850368    y: 339.22579252446087
x: 11.756484602258176    y: 162.5097259324396
x: 20.792181438897515    y: 479.10570450624516
x: 15.942627363535658    y: 292.61558874318155
x: 9.260820598564834    y: 106.59376318635114
x: 9.492054920879985    y: 115.2897263361159
x: 16.203193753991915    y: 288.4740236535562
x: 6.296755101150092    y: 52.829459366085445
x: 0.7900791451569966    y: -2.9625100989715762
x: 15.408998706864882    y: 263.2451434766229
x: 5.673443389205824    y: 43.02703442609576
x: 5.3167668311610266    y: 28.860917527582075
x: 6.133766579197275    y: 46.20401004402237
x: 20.35150418140468    y: 445.05236228762664
x: 4.721235940679841    y: 22.26998679513737
x: 1.0374852447578546    y: 5.843672943483806
x: 12.20207712729248    y: 175.7741085241035
x: 12.40756079772577    y: 172.14699195707578
x: 16.693481389187266    y: 315.1372103724025
x: 18.654283891527637    y: 373.7048478087225
x: 3.173957253834303    y: 19.28850109995093
x: 15.178870348903573    y: 251.14504969803556
x: 14.91081924852063    y: 243.55664508386513
x: 17.929922803693078    y: 350.8482451019269
x: 10.355331864427072    y: 133.62383288816812
x: 8.79647386453946    y: 100.53550706078568
x: 17.94455426577086    y: 348.3561864070997
x: 14.658897192689006    y: 250.25287353410232
x: 7.053976253662158    y: 64.13586583869389
x: 16.40057348717751    y: 298.95714643495734
x: 4.321920185110908    y: 21.074483621390716
x: 9.604507594270997    y: 112.9155724214603
x: 9.016619557526923    y: 101.20317451627976
x: 3.8136112182686532    y: 19.35577301044303
x: 7.253679756608697    y: 58.0559104551416
x: 20.048180391898168    y: 442.2826836996916
x: 5.08325648942273    y: 28.391064524670053
x: 18.22351965116248    y: 371.31691828063293
x: 3.057070731252015    y: 15.497369344353567
x: 2.1333013884324403    y: 13.520196122192907
x: 1.6291988485572255    y: -1.3181010921120873
x: 13.120351188106888    y: 185.60753504649045
x: 13.888372300702315    y: 217.3846288855454
x: 8.53332432367514    y: 90.48061020796382
x: 19.74074493463714    y: 431.02616614190345
x: 5.754804951794407    y: 46.132339304011346
x: 14.888335271531242    y: 249.22435528205244
x: 3.7166635286120546    y: 10.908984140616623
x: 8.10306665370873    y: 77.76844760409271
x: 5.731973483833689    y: 46.10278668342026
x: 5.866624990683392    y: 38.43323739557955
x: 19.367192511393448    y: 408.7664937977611
x: 8.982452581288209    y: 90.09064390555714
x: 3.7157613367214153    y: 18.49223158480764
x: 8.973850980300806    y: 95.40406427516595
x: 17.423243764213584    y: 337.74921010813136
x: 6.822957325640927    y: 50.44880876715539
x: 21.074014474813055    y: 479.7202566521573
x: 6.253902039222953    y: 44.88272552873351
x: 18.203763024328655    y: 361.82527835961196
x: 3.9942712380040963    y: 14.75561771974925
x: 11.832674169560494    y: 151.50058719984884
x: 9.853026777997453    y: 119.39770212616662
x: 6.4821890701441705    y: 232.09982197375118
x: 3.8468851797372334    y: 251.99378380817072
x: 13.945796016284445    y: 54.445856860861895
x: 5.7554606642303385    y: 496.90888196061667
x: 4.445200721264139    y: 79.8189074824977
x: 7.4510615687105455    y: 210.43942996557507
x: 23.88292394323025    y: 361.42694479037885
x: 5.160283909954347    y: 31.889798602997065
x: 2.2573535406388263    y: 297.0871271315363
x: 22.538300010506486    y: 19.66489070446098
x: 18.50156184663027    y: 194.40914303367362
x: 16.850072925660932    y: 451.704154683275
x: 21.2020963061967    y: 404.69155504735403
x: 16.961889950882988    y: 346.21827937944033
x: 10.623298491704789    y: 171.74031234588537
x: 22.10683651311075    y: 238.37016132197874
x: 10.450502902052403    y: 325.28120551204665
x: 3.8820339745717884    y: 37.092021506533065
x: 13.114695592161924    y: 279.5140257048822
